track_index,dj_play_count,color,artwork,bpm,year,title,tag,artist,rating,album,time,date_added,key,genre
264,0,,,140.01,2013,Het kan hier zo mooi zijn,Top 40/Pop / Playlisted,Guus Meeuwis,     ,Nederlandse Top 40 week 2013-14,3:50,4/11/2013,,Nederlands
265,7,,,125.96,2013,Thank you,Top 40/Pop / Playlisted,MKTO,     ,Nederlandse Top 40 week 2013-14,3:49,4/11/2013,,Top 40
266,9,,,136,2013,Feel this moment,Top 40/Pop / Playlisted,Pitbull ft. Christina Aguilera,**** ,Nederlandse Top 40 week 2013-14,3:50,4/11/2013,,Top 40
267,47,,,120,2013,Blurred Lines,Top 40/Pop / White / Hack Tag,Robin Thicke/T.I./Pharrell,**** ,Blurred Lines (Feat T.I. & Pharrell) - Single,4:22,4/11/2013,3d,R&B/Soul
268,0,,,130.07,0,Koningslied,Top 40/Pop / Playlisted,Various Artists,     ,Nederlandse Top 40 week 2013-17,5:07,6/4/2013,,Nederlands
269,5,,,128,2013,That power,Dance / Top 40/Pop / Urban / Playlisted,Will.I.Am ft. Justin Bieber,     ,Nederlandse Top 40 week 2013-18,4:39,6/4/2013,,Top 40
270,0,,,134,2013,Jenny,Top 40/Pop / Playlisted,Studio Killers,     ,Nederlandse Top 40 week 2013-19,3:35,6/4/2013,,Top 40
271,0,,,159.84,2013,Ho hey,Top 40/Pop / Playlisted,The Lumineers,     ,Nederlandse Top 40 week 2013-20,2:33,6/4/2013,,Top 40
272,0,,,90,2013,Sukkel voor de liefde,Top 40/Pop / Playlisted,The Opposites ft. Mr. Probz,     ,Nederlandse Top 40 week 2013-20,3:27,6/4/2013,,Nederlands
273,0,,,104,2013,Mermaid,Top 40/Pop / Playlisted,Train,     ,Nederlandse Top 40 week 2013-20,3:16,6/4/2013,,Top 40
274,3,,,128,2013,That power,Top 40/Pop / Playlisted,Will.I.Am ft. Justin Bieber,     ,Nederlandse Top 40 week 2013-20,4:39,6/4/2013,,Top 40
275,5,,,150,2013,Thunder,Top 40/Pop / Playlisted / PARTY!!!,Yellow Claw & The Opposites,     ,Nederlandse Top 40 week 2013-20,3:33,6/4/2013,,Nederlands
276,0,,,130.07,2013,Koningslied,Top 40/Pop / Playlisted,Various Artists,     ,Nederlandse Top 40 week 2013-20,5:07,6/4/2013,,Nederlands
277,0,,,145.48,2013,If you could see me now,Top 40/Pop / Playlisted,The Script,     ,Nederlandse Top 40 week 2013-20,3:39,6/4/2013,,Top 40
278,12,,,86,2013,Rosana,Fout / Hip Hop / Top 40/Pop / Playlisted,Wax,*****,Nederlandse Top 40 week 2013-21,3:55,6/4/2013,,Top 40
279,0,,,79.01,2013,Koningin van alle mensen,Top 40/Pop / Playlisted,RTL Boulevard United,     ,Nederlandse Top 40 week 2013-17,3:56,6/4/2013,,Nederlands
280,0,,,126,2013,Gentleman,Top 40/Pop / Playlisted,PSY,     ,Nederlandse Top 40 week 2013-17,3:14,6/4/2013,,Top 40
